,dbn,name,num_test_takers,reading_avg,math_avg,writing_score,boro,total_students,graduation_rate,attendance_rate,college_career_rate
121,09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,54.0,315.0,339.0,297.0,X,323,0.96,0.89,0.74
122,09X403,BRONX INTERNATIONAL HIGH SCHOOL,49.0,314.0,312.0,339.0,X,414,0.8,0.8,0.41
123,09X404,SCHOOL FOR EXCELLENCE,32.0,363.0,360.0,351.0,X,375,0.58,0.66,0.35
124,09X412,BRONX HIGH SCHOOL OF BUSINESS,34.0,356.0,376.0,351.0,X,284,0.69,0.82,0.28
125,09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,64.0,400.0,419.0,402.0,X,433,0.91,0.93,0.83
126,09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",80.0,404.0,418.0,402.0,X,771,0.85,0.91,0.71
127,09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,50.0,368.0,384.0,369.0,X,424,0.73,0.76,0.34
128,09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,114.0,384.0,394.0,388.0,X,583,0.54,0.82,0.44
129,09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,27.0,353.0,315.0,371.0,X,264,0.67,0.71,0.43
130,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),113.0,438.0,455.0,440.0,X,1513,0.92,0.92,0.71
131,10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,86.0,373.0,412.0,365.0,X,399,0.77,0.82,0.53
132,10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,59.0,405.0,391.0,394.0,X,608,0.73,0.85,0.65
133,10X237,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",79.0,382.0,393.0,382.0,X,489,0.57,0.82,0.68
134,10X243,WEST BRONX ACADEMY FOR THE FUTURE,26.0,382.0,406.0,370.0,X,607,0.87,0.84,0.54
135,10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,52.0,304.0,356.0,302.0,X,470,0.57,0.87,0.32
136,10X284,BRONX SCHOOL OF LAW AND FINANCE,54.0,402.0,395.0,385.0,X,380,0.77,0.8,0.4
137,10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,49.0,300.0,333.0,301.0,X,523,0.77,0.91,0.47
138,10X368,INsTECH ACADEMY (M.S. / HIGH SCHOOL 368),111.0,390.0,408.0,383.0,X,1003,0.86,0.91,0.78
139,10X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),61.0,392.0,401.0,387.0,X,488,0.91,0.88,0.64
140,10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,57.0,370.0,371.0,365.0,X,447,0.81,0.82,0.41
141,10X434,BELMONT PREPARATORY HIGH SCHOOL,51.0,404.0,418.0,400.0,X,402,0.92,0.89,0.63
142,10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,48.0,355.0,350.0,372.0,X,356,0.93,0.91,0.72
143,10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,63.0,367.0,385.0,367.0,X,342,0.72,0.9,0.32
144,10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,65.0,366.0,364.0,352.0,X,409,0.85,0.82,0.55
145,10X440,DEWITT CLINTON HIGH SCHOOL,443.0,419.0,426.0,410.0,X,1203,0.5,0.84,0.34
146,10X442,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",52.0,423.0,420.0,427.0,X,427,0.95,0.91,0.7
147,10X445,BRONX HIGH SCHOOL OF SCIENCE,731.0,632.0,688.0,649.0,X,2995,1.0,0.97,0.98
148,10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,99.0,414.0,435.0,414.0,X,437,0.9,0.93,0.82
149,10X546,BRONX THEATRE HIGH SCHOOL,68.0,348.0,362.0,354.0,X,389,0.66,0.78,0.46
150,10X549,DISCOVERY HIGH SCHOOL,55.0,372.0,379.0,364.0,X,456,0.8,0.88,0.46
151,10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,92.0,636.0,648.0,636.0,X,400,0.99,0.97,1.0
152,11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,74.0,370.0,381.0,382.0,X,315,0.93,0.93,0.87
153,11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,46.0,400.0,357.0,390.0,X,338,0.67,0.81,0.46
154,11X265,BRONX LAB SCHOOL,81.0,377.0,391.0,367.0,X,399,0.6,0.81,0.41
155,11X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,56.0,386.0,394.0,361.0,X,377,0.65,0.81,0.4
156,11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,72.0,381.0,376.0,354.0,X,569,0.61,0.87,0.62
157,11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,97.0,444.0,471.0,433.0,X,616,0.9,0.9,0.81
158,11X290,BRONX ACADEMY OF HEALTH CAREERS,69.0,387.0,365.0,383.0,X,395,0.81,0.88,0.59
159,11X299,ASTOR COLLEGIATE ACADEMY,60.0,387.0,391.0,391.0,X,476,0.8,0.86,0.6
160,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,48.0,419.0,433.0,416.0,X,441,0.66,0.84,0.38
161,11X455,HARRY S TRUMAN HIGH SCHOOL,189.0,386.0,397.0,368.0,X,2000,0.76,0.9,0.38
162,11X513,NEW WORLD HIGH SCHOOL,72.0,332.0,381.0,335.0,X,403,0.88,0.93,0.77
163,11X514,THE BRONXWOOD PREPARATORY ACADEMY,48.0,377.0,372.0,363.0,X,405,0.64,0.91,0.39
164,11X542,PELHAM PREPARATORY ACADEMY,76.0,431.0,438.0,419.0,X,501,0.9,0.9,0.68
165,11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,55.0,383.0,378.0,365.0,X,446,0.75,0.86,0.33
166,11X545,BRONX AEROSPACE HIGH SCHOOL,46.0,388.0,393.0,382.0,X,346,0.68,0.82,0.46
167,12X248,"METROPOLITAN HIGH SCHOOL, THE",49.0,347.0,367.0,341.0,X,411,0.5,0.76,0.43
168,12X251,EXPLORATIONS ACADEMY,57.0,381.0,381.0,360.0,X,351,0.66,0.81,0.37
169,12X267,BRONX LATIN,36.0,408.0,432.0,411.0,X,579,0.96,0.9,0.82
170,12X271,EAST BRONX ACADEMY FOR THE FUTURE,46.0,366.0,378.0,358.0,X,671,0.78,0.79,0.57
171,12X388,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,30.0,321.0,351.0,298.0,X,478,0.79,0.88,0.59
172,12X478,THE CINEMA SCHOOL,,nan,nan,nan,X,290,0.96,0.89,0.6
173,12X479,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,,nan,nan,nan,X,254,0.43,0.76,0.29
174,12X550,HIGH SCHOOL OF WORLD CULTURES,42.0,304.0,323.0,312.0,X,448,0.39,0.8,0.21
175,12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,72.0,342.0,346.0,341.0,X,473,0.68,0.8,0.37
176,12X684,WINGS ACADEMY,66.0,378.0,374.0,362.0,X,491,0.53,0.81,0.35
177,13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,29.0,352.0,349.0,373.0,K,370,0.69,0.76,0.45
178,13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,52.0,360.0,364.0,356.0,K,221,0.78,0.81,0.6
179,13K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",37.0,375.0,355.0,384.0,K,425,0.77,0.82,0.53
180,13K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",92.0,399.0,417.0,395.0,K,562,0.84,0.93,0.68
181,13K430,BROOKLYN TECHNICAL HIGH SCHOOL,1277.0,587.0,659.0,587.0,K,5838,0.98,0.96,0.95
182,13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,90.0,305.0,364.0,312.0,K,354,0.8,0.92,0.63
183,13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,105.0,400.0,417.0,389.0,K,449,0.91,0.91,0.76
184,13K499,ACORN COMMUNITY HIGH SCHOOL,72.0,384.0,364.0,368.0,K,193,0.74,0.8,0.54
185,13K527,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,,nan,nan,nan,K,480,0.78,0.87,0.62
186,13K595,BEDFORD ACADEMY HIGH SCHOOL,89.0,438.0,443.0,431.0,K,364,0.98,0.93,0.88
187,13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,85.0,406.0,391.0,392.0,K,756,0.74,0.88,0.39
188,13K670,BENJAMIN BANNEKER ACADEMY,185.0,471.0,472.0,448.0,K,844,0.92,0.88,0.8
189,13K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",20.0,441.0,499.0,413.0,K,439,0.87,0.89,0.77
190,14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,102.0,365.0,361.0,359.0,K,534,0.66,0.87,0.23
191,14K449,"BROOKLYN LATIN SCHOOL, THE",72.0,586.0,584.0,570.0,K,678,0.99,0.93,0.85
192,14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,41.0,407.0,386.0,396.0,K,269,0.68,0.85,0.32
193,14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,144.0,364.0,379.0,371.0,K,766,0.78,0.84,0.42
194,14K477,SCHOOL FOR LEGAL STUDIES,134.0,413.0,396.0,395.0,K,335,0.64,0.77,0.3
195,14K478,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",142.0,398.0,421.0,396.0,K,872,0.78,0.85,0.61
196,14K488,BROOKLYN PREPARATORY HIGH SCHOOL,42.0,367.0,373.0,350.0,K,512,0.92,0.86,0.69
197,14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,72.0,363.0,385.0,364.0,K,566,0.95,0.91,0.56
198,14K561,WILLIAMSBURG PREPARATORY SCHOOL,113.0,397.0,410.0,380.0,K,676,0.95,0.9,0.74
199,14K586,LYONS COMMUNITY SCHOOL,31.0,371.0,377.0,355.0,K,496,0.65,0.81,0.4
200,14K610,AUTOMOTIVE HIGH SCHOOL,94.0,367.0,376.0,350.0,K,399,0.72,0.81,0.18
201,14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,28.0,359.0,335.0,341.0,K,236,0.56,0.82,0.47
202,15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,52.0,361.0,367.0,383.0,K,206,0.69,0.89,0.71
203,15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,76.0,393.0,399.0,387.0,K,681,0.9,0.84,0.74
204,15K462,SECONDARY SCHOOL FOR LAW,59.0,398.0,411.0,394.0,K,439,0.86,0.85,0.55
205,15K463,SECONDARY SCHOOL FOR JOURNALISM,58.0,397.0,391.0,381.0,K,215,0.65,0.84,0.61
206,15K464,PARK SLOPE COLLEGIATE,72.0,379.0,416.0,380.0,K,654,0.64,0.87,0.66
207,15K497,SCHOOL FOR INTERNATIONAL STUDIES,64.0,405.0,415.0,392.0,K,632,0.78,0.8,0.56
208,15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,77.0,398.0,402.0,385.0,K,584,0.79,0.8,0.55
209,15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,141.0,426.0,421.0,411.0,K,867,0.85,0.92,0.64
210,15K667,SUNSET PARK HIGH SCHOOL,,nan,nan,nan,K,1230,0.77,0.87,0.51
211,16K455,BOYS AND GIRLS HIGH SCHOOL,131.0,365.0,370.0,362.0,K,428,0.63,0.85,0.25
212,16K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,46.0,362.0,372.0,358.0,K,594,0.74,0.85,0.49
213,16K688,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,,nan,nan,nan,K,135,0.66,0.78,0.26
214,17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,59.0,396.0,374.0,369.0,K,422,0.64,0.84,0.49
215,17K408,ACADEMY OF HOSPITALITY AND TOURISM,57.0,352.0,342.0,351.0,K,208,0.53,0.82,0.3
216,17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,71.0,287.0,335.0,291.0,K,417,0.63,0.88,0.53
217,17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,46.0,403.0,385.0,388.0,K,197,0.61,0.9,0.33
218,17K531,"SCHOOL FOR HUMAN RIGHTS, THE",35.0,348.0,381.0,359.0,K,441,0.74,0.92,0.49
219,17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,73.0,338.0,349.0,340.0,K,480,0.79,0.88,0.39
220,17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,61.0,362.0,375.0,368.0,K,354,0.82,0.84,0.49
221,17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",69.0,457.0,462.0,441.0,K,541,0.98,0.96,0.83
222,17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,79.0,418.0,441.0,414.0,K,454,0.95,0.93,0.84
223,17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,63.0,388.0,382.0,373.0,K,373,0.74,0.9,0.57
224,17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,48.0,385.0,393.0,373.0,K,296,0.74,0.83,0.55
225,17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,165.0,476.0,481.0,479.0,K,1257,0.98,0.89,0.8
226,17K600,CLARA BARTON HIGH SCHOOL,259.0,425.0,413.0,413.0,K,1221,0.75,0.89,0.52
227,17K751,ACADEMY FOR HEALTH CAREERS,,nan,nan,nan,K,359,0.83,0.83,0.56
228,18K563,IT TAKES A VILLAGE ACADEMY,56.0,313.0,320.0,330.0,K,730,0.89,0.91,0.76
229,18K566,BROOKLYN GENERATION SCHOOL,29.0,374.0,377.0,394.0,K,195,0.75,0.91,0.51
230,18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,54.0,383.0,358.0,377.0,K,362,0.83,0.82,0.46
231,18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,43.0,368.0,378.0,346.0,K,353,0.86,0.89,0.43
232,18K576,VICTORY COLLEGIATE HIGH SCHOOL,63.0,387.0,377.0,379.0,K,401,0.76,0.88,0.53
233,18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,37.0,404.0,393.0,386.0,K,255,0.7,0.86,0.53
234,18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,33.0,393.0,395.0,381.0,K,319,0.68,0.87,0.38
235,18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,75.0,386.0,380.0,393.0,K,424,0.93,0.91,0.69
236,18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,35.0,363.0,381.0,367.0,K,285,0.81,0.82,0.48
237,18K642,URBAN ACTION ACADEMY,40.0,376.0,385.0,374.0,K,278,0.58,0.81,0.33
238,19K409,EAST NEW YORK FAMILY ACADEMY,54.0,416.0,432.0,394.0,K,496,0.95,0.88,0.68
239,19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,37.0,341.0,349.0,333.0,K,333,0.71,0.8,0.32
240,19K504,HIGH SCHOOL FOR CIVIL RIGHTS,47.0,363.0,349.0,342.0,K,264,0.64,0.74,0.34
241,19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,61.0,380.0,386.0,383.0,K,450,0.54,0.86,0.41
242,19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,68.0,371.0,365.0,370.0,K,262,0.67,0.81,0.52
243,19K583,MULTICULTURAL HIGH SCHOOL,29.0,279.0,322.0,286.0,K,243,0.62,0.9,0.49
244,19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,182.0,395.0,418.0,380.0,K,713,0.73,0.84,0.45
245,19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,60.0,371.0,371.0,354.0,K,403,0.74,0.88,0.48
246,19K639,BROOKLYN LAB SCHOOL,57.0,360.0,385.0,363.0,K,384,0.63,0.79,0.42
247,19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,51.0,376.0,385.0,368.0,K,251,0.69,0.89,0.51
248,19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,74.0,370.0,369.0,363.0,K,407,0.68,0.76,0.33
249,19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",38.0,383.0,400.0,374.0,K,287,0.73,0.84,0.28
250,20K445,NEW UTRECHT HIGH SCHOOL,456.0,402.0,471.0,399.0,K,3563,0.8,0.87,0.59
251,20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,238.0,425.0,474.0,424.0,K,1278,0.88,0.93,0.71
252,20K490,FORT HAMILTON HIGH SCHOOL,694.0,417.0,478.0,411.0,K,4582,0.75,0.9,0.7
253,20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,385.0,383.0,486.0,375.0,K,3061,0.68,0.89,0.51
254,20K609,THE URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,,nan,nan,nan,K,556,0.93,0.9,0.81
255,21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,54.0,326.0,386.0,314.0,K,337,0.67,0.89,0.51
256,21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,54.0,402.0,427.0,408.0,K,639,0.67,0.86,0.54
257,21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,39.0,388.0,398.0,378.0,K,242,0.67,0.81,0.48
258,21K410,ABRAHAM LINCOLN HIGH SCHOOL,475.0,396.0,437.0,393.0,K,1998,0.71,0.86,0.45
259,21K468,KINGSBOROUGH EARLY COLLEGE SCHOOL,,nan,nan,nan,K,657,0.98,0.91,0.89
260,21K525,EDWARD R. MURROW HIGH SCHOOL,727.0,468.0,496.0,467.0,K,3789,0.8,0.91,0.64
261,21K540,JOHN DEWEY HIGH SCHOOL,448.0,404.0,468.0,390.0,K,2309,0.8,0.88,0.57
262,21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,40.0,384.0,375.0,365.0,K,303,0.89,0.88,0.6
263,21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,40.0,353.0,370.0,356.0,K,347,0.84,0.87,0.7
264,21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,95.0,394.0,414.0,376.0,K,458,0.71,0.82,0.22
265,21K690,BROOKLYN STUDIO SECONDARY SCHOOL,119.0,429.0,449.0,435.0,K,942,0.85,0.87,0.65
266,21K728,LIBERATION DIPLOMA PLUS,10.0,411.0,369.0,373.0,K,225,,0.53,
267,22K405,MIDWOOD HIGH SCHOOL,824.0,478.0,519.0,476.0,K,4058,0.9,0.92,0.81
268,22K425,JAMES MADISON HIGH SCHOOL,518.0,436.0,475.0,439.0,K,3657,0.83,0.94,0.64
269,22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,259.0,524.0,561.0,542.0,K,1011,0.94,0.96,0.75
270,22K555,BROOKLYN COLLEGE ACADEMY,131.0,456.0,456.0,440.0,K,622,0.98,0.95,0.95
271,23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,60.0,389.0,409.0,387.0,K,271,0.63,0.85,0.5
272,23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,55.0,361.0,371.0,359.0,K,157,0.66,0.82,0.37
273,23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,17.0,350.0,346.0,332.0,K,217,,0.66,
274,23K697,TEACHERS PREPARATORY HIGH SCHOOL,69.0,392.0,416.0,388.0,K,250,0.69,0.8,0.49
275,24Q264,ACADEMY OF FINANCE AND ENTERPRISE,89.0,405.0,454.0,421.0,Q,598,0.94,0.93,0.77
